Site ID,Reachability Status
CLCLT00375A,YES
CLCLT00376A,YES
CLCLT00377A,YES
CLCLT00378A,YES
CLCLT00381A,YES
CLCLT00382A,YES
CLCLT00384A,YES
CLCLT00386A,YES
CLCLT00387A,YES
CLCLT00388A,YES
CLCLT00389A,YES
CLCLT00390A,YES
CLCLT00391A,YES
CLCLT00392A,YES
CLCLT00393A,YES
CLCLT00395A,YES
CLCLT00396A,YES
CLCLT00397A,YES
CLCLT00401A,YES
CLCLT00402A,YES
CLCLT00403A,YES
CLCLT00404A,YES
CLCLT00405A,YES
CLCLT00406A,YES
CLCLT00407A,YES
CLCLT00408A,YES
CLCLT00409A,YES
CLCLT00411A,YES
CLCLT00412A,YES
CLCLT00413A,YES
CLCLT00414A,YES
CLCLT00416A,YES
CLCLT00417A,YES
CLCLT00418A,YES
CLCLT00419A,YES
CLCLT00420A,YES
CLCLT00421A,YES
CLCLT00423A,YES
CLCLT00424A,YES
CLCLT00426A,YES
CLCLT00427A,YES
CLCLT00429A,YES
CLCLT00430A,YES
CLCLT00432A,YES
CLCLT00434A,YES
CLCLT00435A,YES
CLCLT00436A,YES
CLCLT00438A,YES
CLCLT00441A,YES
CLCLT00442A,YES
CLCLT00443A,YES
CLCLT00444A,YES
CLCLT00445A,YES
CLCLT00446A,YES
CLCLT00447A,YES
CLCLT00448A,YES
CLCLT00449A,YES
CLCLT00450A,YES
CLCLT00452A,YES
CLCLT00453A,YES
CLCLT00454A,YES
CLCLT00457A,YES
CLCLT00458A,YES
CLCLT00459A,YES
CLCLT00461A,YES
CLCLT00462A,YES
CLCLT00463A,YES
CLCLT00464A,YES
CLCLT00465A,YES
CLCLT00466A,YES
CLCLT00467A,YES
CLCLT00468A,YES
CLCLT00469A,YES
CLCLT00470A,YES
CLCLT00472A,YES
CLCLT00474A,YES
CLCLT00475A,YES
CLCLT00476A,YES
CLCLT00480A,YES
CLCLT00481A,YES
CLCLT00482A,YES
CLCLT00483A,YES
CLCLT00485A,YES
CLCLT00487A,YES
CLCLT00488A,YES
CLCLT00492A,YES
CLCLT00493A,YES
CLCLT00494A,YES
CLCLT00495A,YES
CLCLT00496A,YES
CLCLT00499A,YES
CLCLT00500A,YES
CLCLT00501A,YES
CLCLT00503A,YES
CLCLT00505A,YES
CLCLT00506A,YES
CLCLT00507A,YES
CLCLT00510A,YES
CLCLT00511A,YES
CLCLT00513A,YES
CLCLT00515A,YES
CLCLT00516A,YES
CLCLT00517A,YES
CLCLT00518A,YES
CLCLT00519A,YES
CLCLT00528A,YES
CLFAY00004A,YES
CLFAY00008A,YES
CLFAY00012A,YES
CLFAY00019A,YES
CLFAY00021A,NO
CLFAY00032A,YES
CLFAY00040A,YES
CLFAY00041A,YES
CLFAY00043A,YES
CLFAY00048A,YES
CLFAY00049A,YES
CLFAY00051A,YES
CLFAY00053A,YES
CLFAY00060A,YES
CLFAY00066A,YES
CLFAY00075A,YES
CLFAY00079A,YES
CLFAY00084A,YES
CLFAY00092A,YES
CLFAY00105A,YES
CLFAY00108A,YES
CLFAY00109A,YES
CLFAY00110A,YES
CLFAY00114A,YES
CLFAY00115A,YES
CLFAY00116A,YES
CLFAY00118A,YES
CLFAY00122A,YES
CLFAY00123A,YES
CLFAY00125A,YES
CLFAY00126A,YES
CLFAY00128A,YES
CLFAY00129A,YES
CLFAY00132A,YES
CLFAY00133A,YES
CLFAY00138A,YES
CLFAY00140A,YES
CLFAY00143A,YES
CLFAY00144A,YES
CLFAY00145A,YES
CLFAY00147A,YES
CLFAY00148A,YES
CLFAY00150A,YES
CLFAY00154A,YES
CLFAY00155A,YES
CLFAY00158A,YES
CLFAY00159A,YES
CLFAY00160A,YES
CLFAY00163A,YES
CLFAY00164A,YES
CLFAY00167A,YES
CLFAY00168A,YES
CLFAY00172A,YES
CLFAY00173A,YES
CLFAY00173A,NO
CLFAY00174A,YES
CLFAY00176A,YES
CLFAY00177A,YES
CLFAY00180A,YES
CLFAY00182A,YES
CLFAY00183A,YES
CLFAY00184A,YES
CLFAY00187A,YES
CLFAY00195A,YES
CLFAY00196A,YES
CLFAY00204A,YES
CLFAY00207A,YES
CLFAY00209A,YES
CLFAY00210A,YES
CLFAY00216A,YES
CLFAY00220A,YES
CLFAY00223A,YES
CLFAY00226A,YES
CLFAY00228A,YES
CLFAY00229A,YES
CLFAY00231A,YES
CLFAY00233A,YES
CLFAY00235A,YES
CLFAY00241A,YES
CLFAY00246A,YES
CLFAY00247A,YES
CLFAY00248A,YES
CLFAY00250A,YES
CLFAY00254A,YES
CLFAY00260A,YES
CLFAY00265A,YES
CLFAY00266A,YES
CLFAY00267A,YES
CLFAY00273A,YES
CLFAY00277A,YES
CLFAY00278A,YES
CLFAY00283A,YES
CLFAY00287A,YES
CLFAY00288A,YES
CLFAY00293A,YES
CLFAY00298A,YES
CLFAY00340A,YES
CLFAY00342A,YES
CLFAY00348A,YES
CLFAY00349A,YES
CLFAY00354A,YES
CLFAY00355A,YES
CLFAY00356A,YES
CLFAY00378A,YES
CLFAY00379A,YES
CLFAY00381A,YES
CLFAY00389A,YES
CLFAY00412A,YES
CLFAY00414A,YES
CLFAY00420A,YES
CLFAY00432A,YES
CLFAY00433A,YES
CLFAY00434A,YES
CLFAY00436A,YES
CLFAY00443A,YES
CLFAY00445A,YES
CLFAY00447A,YES
CLFAY00448A,YES
CLFAY00449A,YES
CLFAY00450A,YES
CLFAY00467A,YES
CLFAY00469A,YES
CLFAY00471A,YES
CLFAY00479A,YES
CLFAY00499A,YES
CLFAY00517A,YES
CLFAY00527A,YES
CLFAY00529A,YES
CLFAY00530A,NO
CLFAY00578A,YES
CLFAY00583A,YES
CLFAY00584A,YES
CLFAY00585A,YES
CLFAY00586A,YES
CLFAY00587A,YES
CLFAY00592A,YES
CLGSP00001A,YES
CLGSP00004A,YES
CLGSP00005A,YES
CLGSP00007A,YES
CLGSP00008A,YES
CLGSP00009A,YES
CLGSP00010A,YES
CLGSP00011A,YES
CLGSP00012A,YES
CLGSP00015A,YES
CLGSP00016A,YES
CLGSP00017A,YES
CLGSP00020A,YES
CLGSP00021A,YES
CLGSP00022A,YES
CLGSP00024A,YES
CLGSP00025A,YES
CLGSP00026A,YES
CLGSP00027A,YES
CLGSP00028A,YES
CLGSP00029A,YES
CLGSP00030A,YES
CLGSP00032A,YES
CLGSP00034A,YES
CLGSP00035A,YES
CLGSP00036A,YES
CLGSP00037A,YES
CLGSP00039A,YES
CLGSP00041A,YES
CLGSP00042A,YES
CLGSP00043A,YES
CLGSP00046A,YES
CLGSP00047A,YES
CLGSP00048A,YES
CLGSP00049A,YES
CLGSP00050A,YES
CLGSP00051A,YES
CLGSP00055A,YES
CLGSP00056A,YES
CLGSP00057A,YES
CLGSP00059A,YES
CLGSP00060A,YES
CLGSP00062A,YES
CLGSP00063A,YES
CLGSP00066A,YES
CLGSP00067A,YES
CLGSP00068A,YES
CLGSP00071A,YES
CLGSP00072A,YES
CLGSP00074A,YES
CLGSP00075A,YES
CLGSP00076A,YES
CLGSP00077A,YES
CLGSP00079A,YES
CLGSP00080A,YES
CLGSP00081A,YES
CLGSP00082A,YES
CLGSP00085A,YES
CLGSP00086A,YES
CLGSP00087A,YES
CLGSP00088A,YES
CLGSP00089A,YES
CLGSP00090A,YES
CLGSP00091A,YES
CLGSP00092A,YES
CLGSP00093A,YES
CLGSP00095A,YES
CLGSP00096A,YES
CLGSP00098A,YES
CLGSP00099A,YES
CLGSP00100A,YES
CLGSP00101A,YES
CLGSP00102A,YES
CLGSP00103A,YES
CLGSP00104A,YES
CLGSP00105A,YES
CLGSP00107A,YES
CLGSP00108A,YES
CLGSP00111A,YES
CLGSP00112A,YES
CLGSP00113A,YES
CLGSP00114A,YES
CLGSP00116A,YES
CLGSP00118A,YES
CLGSP00119A,YES
CLGSP00122A,YES
CLGSP00123A,YES
CLGSP00124A,YES
CLGSP00129A,YES
CLGSP00130A,YES
CLGSP00133A,YES
CLGSP00136A,YES
CLGSP00137A,YES
CLGSP00139A,YES
CLGSP00140A,YES
CLGSP00143A,YES
CLGSP00147A,YES
CLGSP00148A,YES
CLGSP00149A,YES
CLGSP00150A,YES
CLGSP00151A,YES
CLGSP00152A,YES
CLGSP00157A,YES
CLGSP00158A,YES
CLGSP00164A,YES
CLGSP00167A,YES
CLGSP00170A,YES
CLGSP00172A,YES
CLGSP00173A,YES
CLGSP00175A,YES
CLGSP00182A,YES
CLGSP00183A,YES
CLGSP00184A,YES
CLGSP00185A,YES
CLGSP00187A,YES
CLGSP00188A,YES
CLGSP00190A,YES
CLGSP00191A,YES
CLGSP00194A,YES
CLGSP00197A,YES
CLGSP00200A,YES
CLGSP00202A,YES
CLGSP00204A,YES
CLGSP00206A,YES
CLGSP00207A,YES
CLGSP00208A,YES
CLGSP00209A,YES
CLGSP00212A,YES
CLGSP00213A,YES
CLGSP00214A,YES
CLGSP00215A,YES
CLGSP00216A,YES
CLGSP00217A,YES
CLGSP00218A,YES
CLGSP00219A,YES
CLGSP00221A,YES
CLGSP00222A,YES
CLGSP00226A,YES
CLGSP00228A,YES
CLGSP00229A,YES
CLGSP00230A,YES
CLGSP00231A,YES
CLGSP00232A,YES
CLGSP00233A,YES
CLGSP00234A,NO
CLGSP00235A,YES
CLGSP00236A,YES
CLGSP00238A,YES
CLGSP00240A,YES
CLGSP00242A,YES
CLGSP00244A,YES
CLGSP00245A,YES
CLGSP00246A,YES
CLGSP00247A,YES
CLGSP00248A,YES
CLGSP00249A,YES
CLGSP00251A,YES
CLGSP00252A,YES
CLGSP00253A,YES
CLGSP00255A,YES
CLGSP00256A,YES
CLGSP00257A,YES
CLGSP00258A,YES
CLGSP00259A,YES
CLGSP00260A,YES
CLGSP00261A,YES
CLGSP00264A,YES
CLGSP00265A,YES
CLGSP00266A,YES
CLGSP00268A,YES
CLGSP00269A,YES
CLGSP00270A,YES
CLGSP00271A,YES
CLGSP00273A,YES
CLGSP00274A,YES
CLGSP00275A,YES
CLGSP00276A,YES
CLGSP00277A,YES
CLGSP00279A,YES
CLGSP00286A,YES
CLGSP00289A,YES
CLGSP00290A,YES
CLGSP00291A,YES
CLGSP00292A,YES
CLGSP00293A,YES
CLGSP00295A,YES
CLGSP00296A,YES
CLGSP00298A,YES
CLGSP00299A,YES
CLGSP00300A,YES
CLGSP00301A,YES
CLGSP00302A,YES
CLGSP00304A,YES
CLGSP00305A,YES
CLGSP00306A,YES
CLGSP00307A,YES
CLGSP00308A,YES
CLGSP00309A,YES
CLGSP00310A,YES
CLGSP00311A,YES
CLGSP00312A,YES
CLGSP00313A,YES
CLGSP00314A,YES
CLGSP00315A,YES
CLGSP00316A,YES
CLGSP00317A,YES
CLGSP00320A,YES
CLGSP00321A,YES
CLGSP00324A,YES
CLGSP00327A,YES
CLGSP00329A,YES
CLGSP00330A,YES
CLGSP00331A,YES
CLGSP00332A,YES
CLGSP00334A,YES
CLGSP00335A,YES
CLGSP00337A,YES
CLGSP00340A,YES
CLGSP00341A,YES
CLGSP00343A,YES
CLGSP00344A,YES
CLGSP00345A,YES
CLGSP00349A,YES
CLGSP00351A,YES
CLGSP00352A,YES
CLGSP00354A,YES
CLGSP00355A,YES
CLGSP00358A,YES
CLGSP00362A,YES
CLGSP00364A,YES
CLRDU00004A,YES
CLRDU00006A,YES
CLRDU00007A,YES
CLRDU00008A,YES
CLRDU00009A,YES
CLRDU00010A,YES
CLRDU00011A,YES
CLRDU00013A,YES
CLRDU00015A,YES
CLRDU00016A,YES
CLRDU00019A,YES
CLRDU00020A,YES
CLRDU00021A,YES
CLRDU00022A,YES
CLRDU00023A,YES
CLRDU00025A,YES
CLRDU00027A,YES
CLRDU00028A,YES
CLRDU00029A,YES
CLRDU00032A,YES
CLRDU00034A,YES
CLRDU00035A,YES
CLRDU00037A,YES
CLRDU00038A,YES
CLRDU00043A,YES
CLRDU00045A,YES
CLRDU00049A,YES
CLRDU00050A,YES
CLRDU00051A,YES
CLRDU00052A,YES
CLRDU00053A,YES
CLRDU00058A,YES
CLRDU00060A,YES
CLRDU00061A,YES
CLRDU00063A,YES
CLRDU00064A,YES
CLRDU00065A,YES
CLRDU00066A,YES
CLRDU00068A,YES
CLRDU00071A,YES
CLRDU00073A,YES
CLRDU00074A,YES
CLRDU00075A,YES
CLRDU00077A,YES
CLRDU00079A,YES
CLRDU00081A,YES
CLRDU00083A,YES
CLRDU00084A,YES
CLRDU00085A,YES
CLRDU00087A,YES
CLRDU00088A,YES
CLRDU00091A,YES
CLRDU00094A,YES
CLRDU00099A,YES
CLRDU00100A,YES
CLRDU00102A,YES
CLRDU00103A,YES
CLRDU00106A,YES
CLRDU00113A,YES
CLRDU00115A,YES
CLRDU00117A,YES
CLRDU00118A,YES
CLRDU00119A,YES
CLRDU00120A,YES
CLRDU00121A,YES
CLRDU00123A,YES
CLRDU00125A,YES
CLRDU00127A,YES
CLRDU00128A,YES
CLRDU00129A,YES
CLRDU00130A,YES
CLRDU00131A,YES
CLRDU00132A,YES
CLRDU00133A,YES
CLRDU00134A,YES
CLRDU00138A,YES
CLRDU00139A,YES
CLRDU00140A,YES
CLRDU00141A,YES
CLRDU00142A,YES
CLRDU00144A,YES
CLRDU00145A,YES
CLRDU00146A,YES
CLRDU00148A,YES
CLRDU00149A,YES
CLRDU00150A,YES
CLRDU00152A,YES
CLRDU00154A,YES
CLRDU00155A,YES
CLRDU00157A,YES
CLRDU00158A,YES
CLRDU00159A,YES
CLRDU00160A,YES
CLRDU00161A,YES
CLRDU00162A,YES
CLRDU00163A,YES
CLRDU00164A,YES
CLRDU00166A,YES
CLRDU00167A,YES
CLRDU00169A,YES
CLRDU00170A,YES
CLRDU00171A,YES
CLRDU00172A,YES
CLRDU00173A,YES
CLRDU00174A,YES
CLRDU00175A,YES
CLRDU00176A,YES
CLRDU00177A,YES
CLRDU00179A,YES
CLRDU00181A,YES
CLRDU00182A,YES
CLRDU00183A,YES
CLRDU00184A,YES
CLRDU00185A,YES
CLRDU00186A,YES
CLRDU00187A,YES
CLRDU00189A,YES
CLRDU00190A,YES
CLRDU00191A,YES
CLRDU00192A,YES
CLRDU00193A,YES
CLRDU00194A,YES
CLRDU00195A,YES
CLRDU00197A,YES
CLRDU00198A,YES
CLRDU00200A,YES
CLRDU00201A,YES
CLRDU00203A,YES
CLRDU00204A,YES
CLRDU00205A,YES
CLRDU00207A,YES
CLRDU00208A,YES
CLRDU00211A,YES
CLRDU00212A,YES
CLRDU00213A,YES
CLRDU00215A,YES
CLRDU00217A,YES
CLRDU00218A,YES
CLRDU00220A,YES
CLRDU00222A,YES
CLRDU00223A,YES
CLRDU00225A,YES
CLRDU00226A,YES
CLRDU00227A,YES
CLRDU00228A,YES
CLRDU00230A,YES
CLRDU00231A,YES
CLRDU00232A,YES
CLRDU00233A,YES
CLRDU00234A,YES
CLRDU00235A,YES
CLRDU00236A,YES
CLRDU00237A,YES
CLRDU00238A,YES
CLRDU00239A,YES
CLRDU00240A,YES
CLRDU00241A,YES
CLRDU00242A,YES
CLRDU00245A,YES
CLRDU00246A,YES
CLRDU00247A,YES
CLRDU00248A,YES
CLRDU00249A,YES
CLRDU00250A,YES
CLRDU00251A,YES
CLRDU00252A,YES
CLRDU00253A,YES
CLRDU00255A,YES
CLRDU00256A,YES
CLRDU00258A,YES
CLRDU00261A,YES
CLRDU00262A,YES
CLRDU00263A,YES
CLRDU00264A,YES
CLRDU00265A,YES
CLRDU00266A,YES
CLRDU00267A,YES
CLRDU00268A,YES
CLRDU00270A,YES
CLRDU00271A,YES
CLRDU00272A,YES
CLRDU00275A,YES
CLRDU00277A,YES
CLRDU00278A,YES
CLRDU00279A,YES
CLRDU00280A,YES
CLRDU00281A,YES
CLRDU00282A,YES
CLRDU00284A,YES
CLRDU00285A,YES
CLRDU00286A,YES
CLRDU00287A,YES
CLRDU00288A,YES
CLRDU00289A,YES
CLRDU00290A,YES
CLRDU00291A,YES
CLRDU00292A,YES
CLRDU00293A,YES
CLRDU00294A,YES
CLRDU00295A,YES
CLRDU00297A,YES
CLRDU00299A,YES
CLRDU00300A,YES
CLRDU00301A,YES
CLRDU00302A,YES
CLRDU00303A,YES
CLRDU00304A,YES
CLRDU00305A,YES
CLRDU00306A,YES
CLRDU00307A,YES
CLRDU00309A,YES
CLRDU00310A,YES
CLRDU00311A,YES
CLRDU00313A,YES
CLRDU00314A,YES
CLRDU00315A,YES
CLRDU00319A,YES
CLRDU00321A,YES
CLRDU00323A,NO
CLRDU00325A,YES
CLRDU00326A,YES
CLRDU00328A,YES
CLRDU00331A,YES
CLRDU00332A,YES
CLRDU00333A,YES
CLRDU00334A,YES
CLRDU00335A,YES
CLRDU00337A,YES
CLRDU00339A,YES
CLRDU00340A,YES
CLRDU00341A,YES
CLRDU00343A,YES
CLRDU00344A,YES
CLRDU00345A,YES
CLRDU00346A,YES
CLRDU00347A,YES
CLRDU00348A,YES
CLRDU00349A,YES
CLRDU00350A,YES
CLRDU00351A,YES
CLRDU00353A,YES
CLRDU00355A,YES
CLRDU00357A,YES
CLRDU00359A,YES
CLRDU00363A,YES
CLRDU00364A,YES
CLRDU00365A,YES
CLRDU00366A,YES
CLRDU00368A,YES
CLRDU00369A,YES
CLRDU00370A,YES
CLRDU00371A,YES
CLRDU00372A,YES
CLRDU00373A,YES
CLRDU00375A,YES
CLRDU00377A,YES
CLRDU00383A,YES
CLRDU00385A,YES
CLRDU00386A,YES
CLRDU00387A,YES
CLRDU00388A,YES
CLRDU00389A,YES
CLRDU00390A,YES
CLRDU00391A,YES
CLRDU00392A,YES
CLRDU00393A,YES
CLRDU00394A,YES
CLRDU00404A,YES
CLRDU00405A,YES
CLRDU00406A,YES
CLRDU00407A,YES
CLRDU00410A,YES
CLRDU00457A,YES
CLRDU00458A,YES
CLRDU00462A,YES
CLRDU00464A,YES
CLRDU00465A,YES
CLRDU00466A,YES
CLRDU00467A,YES
CLRDU00469A,YES
CLRDU00470A,YES
CLRDU00471A,YES
CLRDU00474A,YES
CLRDU00475A,YES
CLRDU00476A,YES
CLRDU00477A,YES
CLRDU00478A,YES
CLRDU00479A,YES
CLRDU00480A,YES
CLRDU00481A,YES
CLRDU00483A,YES
CLRDU00484A,YES
CLRDU00486A,YES
CLRDU00487A,YES
CLRDU00489A,YES
CLRDU00490A,YES
CLRDU00491A,YES
CLRDU00494A,YES
CLRDU00496A,YES
CLRDU00497A,YES
CLRDU00499A,YES
CLRDU00500A,YES
CLRDU00502A,YES
CLRDU00503A,YES
CLRDU00506A,YES
CLRDU00507A,YES
CLRDU00508A,YES
CLRDU00509A,YES
CLRDU00511A,YES
CLRDU00513A,YES
CLRDU00515A,YES
CLRDU00517A,YES
CLRDU00519A,YES
CLRDU00520A,YES
CLRDU00521A,YES
CLRDU00522A,YES
CLRDU00523A,YES
CLRDU00524A,YES
CLRDU00525A,YES
CLRDU00526A,YES
CLRDU00527A,YES
CLRDU00528A,YES
CLRDU00529A,YES
